                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     78,                 2.1184,                 1.3795,                 1.3058,                0.68228,                0.71282,                 0.7505,                0.42415,                 1.6466,                 1.0736,                  1.264,             0.00093238,             0.00093238,             0.00093238
                     79,                 2.1178,                 1.3981,                 1.3095,                0.70158,                0.69258,                0.75869,                0.42585,                 1.6536,                 1.0605,                 1.2686,             0.00092825,             0.00092825,             0.00092825
                     80,                 2.1223,                 1.3851,                 1.3087,                0.74915,                0.67367,                 0.7573,                0.43282,                  1.658,                 1.0613,                 1.2656,             0.00092413,             0.00092413,             0.00092413
                     81,                 2.1265,                 1.3753,                 1.3043,                0.72619,                0.69371,                0.76263,                0.42903,                  1.697,                 1.0555,                 1.2627,                0.00092,                0.00092,                0.00092
                     82,                 2.1075,                 1.3849,                 1.3053,                0.68184,                 0.7554,                 0.7678,                0.43539,                 1.6407,                 1.0582,                 1.2591,             0.00091588,             0.00091588,             0.00091588
                     83,                 2.1145,                 1.3836,                 1.3096,                0.67518,                0.73251,                0.76035,                0.43476,                 1.6912,                 1.0416,                 1.2643,             0.00091175,             0.00091175,             0.00091175
                     84,                 2.1401,                 1.3871,                 1.3083,                0.70777,                0.71189,                0.75108,                0.43114,                 1.6484,                 1.0496,                 1.2672,             0.00090763,             0.00090763,             0.00090763
                     85,                 2.0786,                 1.3553,                  1.299,                0.70224,                0.72156,                0.75365,                0.42727,                 1.6768,                 1.0529,                 1.2643,              0.0009035,              0.0009035,              0.0009035
                     86,                 2.0988,                 1.3704,                 1.3032,                0.69288,                0.72294,                0.76041,                0.43195,                 1.7004,                 1.0418,                 1.2654,             0.00089938,             0.00089938,             0.00089938
                     87,                 2.0739,                 1.3474,                 1.2949,                0.71602,                0.67708,                0.75452,                0.42936,                  1.653,                 1.0399,                 1.2752,             0.00089525,             0.00089525,             0.00089525
                     88,                 2.0823,                 1.3539,                 1.2988,                0.71711,                 0.7118,                0.77271,                0.44189,                 1.6816,                 1.0406,                 1.2653,             0.00089112,             0.00089112,             0.00089112
                     89,                 2.0747,                 1.3532,                  1.297,                0.70493,                0.73888,                0.76874,                0.44023,                 1.6102,                 1.0539,                 1.2543,               0.000887,               0.000887,               0.000887
                     90,                 2.1067,                 1.3545,                 1.3015,                0.70451,                0.71816,                0.76423,                0.44163,                 1.6752,                 1.0369,                 1.2692,             0.00088288,             0.00088288,             0.00088288
                     91,                 2.0579,                 1.3477,                 1.2905,                0.70213,                0.71678,                0.76333,                0.44238,                 1.6795,                 1.0234,                 1.2711,             0.00087875,             0.00087875,             0.00087875
                     92,                 2.0802,                 1.3306,                 1.2946,                0.70985,                0.71863,                0.76016,                0.43255,                 1.6728,                 1.0478,                 1.2716,             0.00087462,             0.00087462,             0.00087462
                     93,                 2.0587,                 1.3448,                 1.2942,                0.70456,                 0.7054,                0.74757,                0.42663,                 1.6574,                 1.0534,                 1.2656,              0.0008705,              0.0008705,              0.0008705
                     94,                 2.0399,                 1.3275,                 1.2927,                0.71221,                0.69944,                0.75287,                0.43453,                 1.6708,                 1.0282,                 1.2728,             0.00086637,             0.00086637,             0.00086637
                     95,                 2.0575,                 1.3245,                 1.2931,                0.66857,                0.71601,                0.74525,                0.43032,                 1.6904,                 1.0157,                 1.2763,             0.00086225,             0.00086225,             0.00086225
                     96,                 2.0438,                 1.3292,                 1.2917,                0.68128,                0.71282,                0.74764,                0.43192,                 1.6749,                  1.031,                 1.2682,             0.00085813,             0.00085813,             0.00085813
                     97,                 2.0361,                 1.3243,                   1.29,                0.71252,                0.71517,                0.76015,                0.43673,                  1.636,                 1.0545,                  1.269,               0.000854,               0.000854,               0.000854
                     98,                  2.041,                 1.3325,                 1.2909,                0.68854,                0.71641,                0.74225,                0.42162,                  1.693,                 1.0415,                 1.2727,             0.00084988,             0.00084988,             0.00084988
                     99,                 2.0776,                  1.334,                 1.2964,                0.67294,                0.72201,                0.74636,                0.42585,                 1.6835,                 1.0309,                 1.2731,             0.00084575,             0.00084575,             0.00084575
                    100,                 1.9979,                 1.2983,                 1.2833,                0.71443,                0.69608,                0.76065,                0.43273,                 1.7209,                 1.0215,                 1.2801,             0.00084162,             0.00084162,             0.00084162
                    101,                 2.0362,                 1.3158,                 1.2922,                0.74274,                0.68494,                0.76333,                0.44091,                 1.6842,                 1.0045,                  1.265,              0.0008375,              0.0008375,              0.0008375
                    102,                 2.0374,                  1.321,                 1.2884,                0.68301,                0.71983,                0.76289,                0.44001,                 1.6777,                 1.0266,                 1.2704,             0.00083337,             0.00083337,             0.00083337
                    103,                  2.042,                  1.327,                 1.2928,                0.68214,                0.71678,                0.75597,                0.43255,                 1.6422,                 1.0273,                 1.2712,             0.00082925,             0.00082925,             0.00082925
                    104,                 2.0359,                 1.3243,                 1.2925,                0.70789,                0.73394,                0.76309,                0.43702,                  1.668,                 1.0243,                 1.2659,             0.00082513,             0.00082513,             0.00082513
                    105,                 2.0411,                 1.3165,                 1.2901,                0.74459,                0.68882,                0.76476,                0.44209,                 1.6522,                  1.036,                 1.2633,               0.000821,               0.000821,               0.000821
                    106,                 2.0236,                 1.3081,                 1.2858,                0.71035,                0.70103,                0.75803,                0.43734,                 1.6682,                 1.0143,                 1.2665,             0.00081688,             0.00081688,             0.00081688
                    107,                 2.0323,                 1.3036,                 1.2845,                0.70733,                0.73155,                0.76842,                0.45326,                 1.6187,                 1.0037,                  1.265,             0.00081275,             0.00081275,             0.00081275
                    108,                 2.0059,                 1.2959,                 1.2857,                 0.7208,                0.69428,                0.76432,                0.45035,                 1.6517,                0.99734,                  1.259,             0.00080863,             0.00080863,             0.00080863
