                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     51,                 1.7597,                 1.1363,                 1.5272,                0.63741,                0.68389,                0.68156,                0.37632,                 1.7497,                 1.1366,                 1.7318,              0.0010438,              0.0010438,              0.0010438
                     52,                 1.7651,                 1.1481,                 1.5331,                0.63213,                0.69944,                0.70508,                0.39105,                 1.6436,                 1.1014,                 1.6801,              0.0010396,              0.0010396,              0.0010396
                     53,                 1.7566,                 1.1298,                 1.5332,                0.67607,                 0.6908,                0.72431,                0.40947,                 1.6394,                 1.0868,                  1.699,              0.0010355,              0.0010355,              0.0010355
                     54,                 1.7568,                 1.1654,                 1.5474,                0.62072,                0.70293,                 0.6848,                0.38906,                 1.6994,                 1.1422,                 1.7136,              0.0010314,              0.0010314,              0.0010314
                     55,                  1.745,                   1.13,                 1.5235,                0.68051,                0.70671,                0.72535,                 0.4038,                 1.6797,                 1.1108,                 1.7081,              0.0010273,              0.0010273,              0.0010273
                     56,                 1.7641,                 1.1145,                 1.5269,                0.68844,                0.68032,                0.70162,                0.39825,                 1.6588,                 1.1036,                 1.6955,              0.0010231,              0.0010231,              0.0010231
                     57,                   1.76,                 1.1118,                 1.5288,                0.61202,                0.71493,                0.69964,                0.37904,                 1.7409,                 1.1192,                 1.7164,               0.001019,               0.001019,               0.001019
                     58,                 1.6967,                 1.1061,                 1.5168,                0.65253,                0.72537,                0.71311,                0.39973,                 1.6654,                 1.0754,                 1.6974,              0.0010149,              0.0010149,              0.0010149
                     59,                 1.7432,                  1.104,                 1.5071,                0.66224,                0.69147,                0.71901,                0.40879,                 1.6421,                 1.0731,                 1.6806,              0.0010107,              0.0010107,              0.0010107
                     60,                   1.72,                 1.1008,                 1.5128,                0.67935,                0.68814,                0.73369,                0.42061,                 1.6361,                 1.0862,                 1.6748,              0.0010066,              0.0010066,              0.0010066
                     61,                  1.696,                 1.0689,                 1.5096,                0.64278,                0.69556,                0.70538,                0.39764,                 1.6594,                 1.0795,                  1.686,              0.0010025,              0.0010025,              0.0010025
                     62,                 1.7116,                 1.0718,                 1.5039,                 0.6878,                0.64367,                0.68579,                 0.3841,                 1.7627,                 1.1037,                 1.7108,             0.00099837,             0.00099837,             0.00099837
                     63,                 1.6979,                 1.0794,                 1.5172,                0.62577,                0.70225,                0.69991,                 0.3882,                 1.8298,                   1.07,                 1.7402,             0.00099425,             0.00099425,             0.00099425
